"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","28-Apr-2021","       3132.00","       3149.95","       3151.00","       3112.00","       3123.00","       3124.10","       3125.72","    1639037","          5123175756.75","      76017","     847762","         51.72"
"TCS","EQ","29-Apr-2021","       3124.10","       3145.60","       3157.35","       3105.50","       3114.45","       3115.25","       3130.83","    1621395","          5076305907.85","      98275","     837567","         51.66"
"TCS","EQ","30-Apr-2021","       3115.25","       3099.00","       3132.05","       3020.00","       3040.00","       3035.65","       3063.19","    3072305","          9411056605.10","     157829","    1942473","         63.23"
"TCS","EQ","03-May-2021","       3035.65","       3024.90","       3055.00","       3004.00","       3035.85","       3037.00","       3035.65","    1545831","          4692605166.20","     109575","     636257","         41.16"
"TCS","EQ","04-May-2021","       3037.00","       3062.80","       3090.00","       3035.00","       3052.90","       3049.75","       3061.20","    1990777","          6094167595.30","      94786","     912440","         45.83"
"TCS","EQ","05-May-2021","       3049.75","       3070.00","       3099.40","       3052.40","       3095.75","       3095.70","       3083.22","    1939289","          5979255988.85","     115524","    1003404","         51.74"
"TCS","EQ","06-May-2021","       3095.70","       3105.50","       3134.00","       3074.00","       3115.90","       3111.45","       3107.27","    1791671","          5567213773.10","      72680","     831131","         46.39"
"TCS","EQ","07-May-2021","       3111.45","       3133.00","       3159.85","       3111.80","       3131.00","       3132.90","       3136.92","    1912540","          5999492210.40","      94194","     946390","         49.48"
"TCS","EQ","10-May-2021","       3132.90","       3145.95","       3164.20","       3125.00","       3147.00","       3145.50","       3145.94","    2137153","          6723356016.90","     100229","    1258111","         58.87"
"TCS","EQ","11-May-2021","       3145.50","       3125.00","       3128.10","       3091.15","       3120.00","       3122.60","       3111.04","    2415625","          7515102667.10","      93623","    1484826","         61.47"
"TCS","EQ","12-May-2021","       3122.60","       3120.00","       3120.00","       3070.60","       3085.50","       3087.60","       3086.76","    1978558","          6107329661.55","     101860","    1219688","         61.65"
"TCS","EQ","14-May-2021","       3087.60","       3098.50","       3098.50","       3040.00","       3052.00","       3051.50","       3051.89","    2043935","          6237862560.75","     126572","    1281535","         62.70"
"TCS","EQ","17-May-2021","       3051.50","       3055.00","       3075.20","       3036.00","       3072.75","       3069.75","       3054.41","    2890462","          8828642067.75","      98199","    1759849","         60.88"
"TCS","EQ","18-May-2021","       3069.75","       3100.00","       3124.00","       3078.00","       3089.00","       3088.80","       3097.13","    2098538","          6499442922.95","      65396","    1156834","         55.13"
"TCS","EQ","19-May-2021","       3088.80","       3084.00","       3118.00","       3067.10","       3084.90","       3082.00","       3095.03","    1986041","          6146847715.90","     112427","    1244083","         62.64"
"TCS","EQ","20-May-2021","       3082.00","       3067.10","       3088.80","       3052.10","       3060.65","       3060.00","       3065.96","    2329027","          7140693825.45","     110631","    1512325","         64.93"
"TCS","EQ","21-May-2021","       3060.00","       3061.00","       3088.20","       3055.10","       3080.50","       3080.50","       3075.95","    1685566","          5184715065.35","      74555","    1085313","         64.39"
"TCS","EQ","24-May-2021","       3080.50","       3081.50","       3105.00","       3072.00","       3082.45","       3081.50","       3089.42","    1652260","          5104527041.80","      79516","     896770","         54.28"
"TCS","EQ","25-May-2021","       3081.50","       3092.00","       3128.25","       3082.10","       3115.00","       3114.00","       3111.62","    1841613","          5730395912.55","     122270","     902281","         48.99"
"TCS","EQ","26-May-2021","       3114.00","       3120.00","       3165.00","       3103.80","       3158.00","       3158.50","       3143.41","    1923753","          6047145461.35","      98431","     937133","         48.71"
"TCS","EQ","27-May-2021","       3158.50","       3161.95","       3217.75","       3161.80","       3198.00","       3180.00","       3189.10","    5959785","         19006345222.15","     181046","    3733267","         62.64"
"TCS","EQ","28-May-2021","       3180.00","       3189.50","       3198.00","       3135.65","       3146.35","       3143.60","       3161.25","    1763701","          5575492889.05","      98509","     941310","         53.37"
"TCS","EQ","31-May-2021","       3143.60","       3150.00","       3170.35","       3128.60","       3163.40","       3159.15","       3155.52","    1652799","          5215439448.10","      86026","     731415","         44.25"
"TCS","EQ","01-Jun-2021","       3159.15","       3168.60","       3169.95","       3132.00","       3153.90","       3153.00","       3147.93","    1377441","          4336083044.90","      91948","     748839","         54.36"
"TCS","EQ","02-Jun-2021","       3153.00","       3150.85","       3159.45","       3115.00","       3135.00","       3129.45","       3128.08","    2240078","          7007134474.80","     132990","    1411614","         63.02"
"TCS","EQ","03-Jun-2021","       3129.45","       3154.55","       3154.55","       3122.65","       3144.90","       3141.25","       3136.68","    1281706","          4020300713.05","      91185","     617798","         48.20"
"TCS","EQ","04-Jun-2021","       3141.25","       3128.00","       3156.85","       3125.00","       3138.50","       3143.75","       3140.46","    1836060","          5766071003.15","      78503","    1117232","         60.85"
"TCS","EQ","07-Jun-2021","       3143.75","       3145.00","       3190.45","       3133.60","       3187.00","       3183.20","       3157.52","    2559821","          8082689475.70","     102542","    1587945","         62.03"
"TCS","EQ","08-Jun-2021","       3183.20","       3198.00","       3231.00","       3187.20","       3199.35","       3200.15","       3212.89","    2574057","          8270159545.55","     115327","    1314327","         51.06"
"TCS","EQ","09-Jun-2021","       3200.15","       3202.00","       3220.00","       3186.20","       3199.70","       3200.25","       3202.19","    1710925","          5478705691.35","      75025","     996569","         58.25"
"TCS","EQ","10-Jun-2021","       3200.25","       3210.00","       3224.00","       3193.00","       3216.00","       3216.80","       3210.54","    1874324","          6017589512.15","     100093","    1002378","         53.48"
"TCS","EQ","11-Jun-2021","       3216.80","       3211.55","       3309.00","       3211.00","       3279.00","       3273.80","       3269.42","    3452954","         11289168561.40","     139241","    1428491","         41.37"
"TCS","EQ","14-Jun-2021","       3273.80","       3279.00","       3308.70","       3270.35","       3277.15","       3276.35","       3284.58","    1847360","          6067799808.60","      82241","     925400","         50.09"
"TCS","EQ","15-Jun-2021","       3276.35","       3298.00","       3298.00","       3251.55","       3262.00","       3262.75","       3275.11","    1304985","          4273970422.60","      96054","     694189","         53.20"
"TCS","EQ","16-Jun-2021","       3262.75","       3262.10","       3294.70","       3253.00","       3270.00","       3274.35","       3273.56","    1635552","          5354077782.45","      92225","     973246","         59.51"
"TCS","EQ","17-Jun-2021","       3274.35","       3265.50","       3336.05","       3260.00","       3328.00","       3317.75","       3295.52","    2273413","          7492087861.65","     131862","    1308141","         57.54"
"TCS","EQ","18-Jun-2021","       3317.75","       3350.90","       3358.00","       3275.00","       3303.00","       3297.30","       3312.52","    3380431","         11197761791.30","     141335","    1857893","         54.96"
"TCS","EQ","21-Jun-2021","       3297.30","       3265.00","       3286.00","       3251.70","       3273.00","       3273.10","       3270.48","    1130569","          3697504601.30","      77545","     567529","         50.20"
"TCS","EQ","22-Jun-2021","       3273.10","       3304.00","       3327.05","       3285.00","       3304.00","       3301.20","       3309.41","    1708688","          5654751060.65","      91864","     960829","         56.23"
"TCS","EQ","23-Jun-2021","       3301.20","       3329.00","       3329.00","       3256.40","       3267.30","       3261.40","       3277.84","    1467104","          4808928707.90","      97430","     960116","         65.44"
"TCS","EQ","24-Jun-2021","       3261.40","       3284.00","       3383.00","       3278.50","       3370.00","       3373.60","       3344.69","    4155204","         13897853675.10","     191883","    1837245","         44.22"
"TCS","EQ","25-Jun-2021","       3373.60","       3375.25","       3399.65","       3350.00","       3371.00","       3380.80","       3377.11","    2722861","          9195412962.85","     112139","    1582890","         58.13"
"TCS","EQ","28-Jun-2021","       3380.80","       3391.50","       3391.50","       3333.00","       3342.00","       3336.75","       3345.72","    1355238","          4534249770.00","      80472","     669783","         49.42"
"TCS","EQ","29-Jun-2021","       3336.75","       3342.00","       3366.30","       3326.50","       3335.25","       3340.85","       3344.11","    1497322","          5007216160.85","      97261","     874417","         58.40"
"TCS","EQ","30-Jun-2021","       3340.85","       3346.00","       3382.00","       3338.50","       3351.00","       3345.75","       3356.80","    1693146","          5683548098.95","     101344","     958794","         56.63"
"TCS","EQ","01-Jul-2021","       3345.75","       3358.00","       3362.00","       3332.35","       3338.00","       3341.50","       3343.83","     990310","          3311427478.80","      63177","     590638","         59.64"
"TCS","EQ","02-Jul-2021","       3341.50","       3331.00","       3339.70","       3295.20","       3329.00","       3325.45","       3311.83","    1682274","          5571406774.65","     124870","     885899","         52.66"
"TCS","EQ","05-Jul-2021","       3325.45","       3342.00","       3374.00","       3302.00","       3328.00","       3321.00","       3342.14","    1972858","          6593560506.90","     113655","     981734","         49.76"
"TCS","EQ","06-Jul-2021","       3321.00","       3313.00","       3328.00","       3256.10","       3273.65","       3262.30","       3285.26","    2159420","          7094262857.45","     142732","    1052180","         48.73"
"TCS","EQ","07-Jul-2021","       3262.30","       3275.00","       3282.70","       3241.60","       3275.85","       3274.95","       3264.79","    2640710","          8621356119.05","     119862","    1398154","         52.95"
"TCS","EQ","08-Jul-2021","       3274.95","       3298.00","       3298.00","       3231.90","       3253.00","       3258.50","       3264.38","    2485811","          8114642972.35","     159147","    1154747","         46.45"
"TCS","EQ","09-Jul-2021","       3258.50","       3250.00","       3282.00","       3201.00","       3211.80","       3208.15","       3232.37","    6365067","         20574274921.25","     321370","    2125726","         33.40"
"TCS","EQ","12-Jul-2021","       3208.15","       3235.00","       3236.00","       3188.35","       3198.40","       3193.10","       3212.90","    1892226","          6079523668.95","     136133","     960804","         50.78"
"TCS","EQ","13-Jul-2021","       3193.10","       3214.00","       3214.00","       3175.00","       3190.40","       3187.55","       3192.60","    1809339","          5776498373.75","     119046","    1151250","         63.63"
"TCS","EQ","14-Jul-2021","       3187.55","       3187.00","       3222.00","       3185.00","       3214.40","       3214.55","       3207.79","    2044279","          6557620557.05","     121236","    1175668","         57.51"
"TCS","EQ","15-Jul-2021","       3214.55","       3227.60","       3231.85","       3194.00","       3201.90","       3202.95","       3207.01","    2232968","          7161160396.00","     134474","    1419357","         63.56"
"TCS","EQ","16-Jul-2021","       3202.95","       3213.00","       3219.85","       3192.00","       3194.50","       3194.80","       3202.38","    1256526","          4023879474.80","      90365","     762190","         60.66"
"TCS","EQ","19-Jul-2021","       3194.80","       3180.00","       3199.80","       3176.00","       3184.90","       3184.60","       3185.26","    1597058","          5087041968.65","      78047","    1033190","         64.69"
"TCS","EQ","20-Jul-2021","       3184.60","       3184.60","       3215.00","       3156.15","       3203.85","       3205.80","       3187.48","    1811945","          5775540904.05","     132943","    1090944","         60.21"
"TCS","EQ","22-Jul-2021","       3205.80","       3190.00","       3224.95","       3190.00","       3214.70","       3216.35","       3212.15","    2859334","          9184601700.55","     121867","    1999067","         69.91"
"TCS","EQ","23-Jul-2021","       3216.35","       3230.00","       3241.55","       3206.65","       3210.00","       3212.85","       3225.77","    1776193","          5729596471.60","     100269","    1119762","         63.04"
"TCS","EQ","26-Jul-2021","       3212.85","       3200.00","       3224.25","       3190.85","       3200.35","       3197.55","       3205.52","    1259611","          4037709192.05","      87600","     760050","         60.34"
"TCS","EQ","27-Jul-2021","       3197.55","       3200.00","       3210.00","       3161.15","       3187.95","       3182.95","       3185.06","    1121367","          3571616645.05","      79117","     736732","         65.70"
"TCS","EQ","28-Jul-2021","       3182.95","       3188.00","       3204.45","       3132.40","       3199.90","       3197.80","       3169.59","    1660654","          5263594035.55","     113534","     954569","         57.48"
"TCS","EQ","29-Jul-2021","       3197.80","       3200.25","       3225.45","       3190.30","       3194.00","       3195.80","       3207.56","    1731997","          5555484672.65","     123060","    1099206","         63.46"
"TCS","EQ","30-Jul-2021","       3195.80","       3219.00","       3223.50","       3162.35","       3167.70","       3167.45","       3191.59","    2999943","          9574588335.95","     140915","    2166295","         72.21"
"TCS","EQ","02-Aug-2021","       3167.45","       3180.00","       3224.90","       3167.00","       3220.00","       3219.40","       3199.51","    2608669","          8346453822.50","     112175","    1907700","         73.13"
"TCS","EQ","03-Aug-2021","       3219.40","       3229.00","       3290.00","       3218.95","       3278.50","       3284.90","       3265.75","    3804735","         12425311115.35","     169947","    2236727","         58.79"
"TCS","EQ","04-Aug-2021","       3284.90","       3300.00","       3305.20","       3261.20","       3275.00","       3273.95","       3280.85","    2929598","          9611565427.20","      97356","    1989255","         67.90"
"TCS","EQ","05-Aug-2021","       3273.95","       3275.00","       3315.00","       3262.50","       3282.15","       3283.95","       3291.59","    2534521","          8342597223.05","     101103","    1358151","         53.59"
"TCS","EQ","06-Aug-2021","       3283.95","       3272.55","       3324.00","       3265.00","       3311.00","       3309.80","       3299.35","    2292362","          7563309162.25","     102596","    1459676","         63.68"
"TCS","EQ","09-Aug-2021","       3309.80","       3323.90","       3337.00","       3310.00","       3321.00","       3322.70","       3323.80","    1510489","          5020566711.25","      96243","     969058","         64.16"
"TCS","EQ","10-Aug-2021","       3322.70","       3315.60","       3349.90","       3315.60","       3330.50","       3333.90","       3334.47","    2040777","          6804914788.20","     100513","    1237530","         60.64"
"TCS","EQ","11-Aug-2021","       3333.90","       3350.00","       3360.00","       3327.10","       3348.00","       3344.20","       3344.63","    1929707","          6454161673.50","     104272","    1138089","         58.98"
"TCS","EQ","12-Aug-2021","       3344.20","       3326.00","       3368.00","       3326.00","       3347.00","       3351.75","       3353.87","    1310205","          4394255743.65","      84190","     824872","         62.96"
"TCS","EQ","13-Aug-2021","       3351.75","       3360.75","       3480.00","       3357.50","       3456.05","       3463.40","       3438.94","    4363584","         15006082710.35","     217264","    2132472","         48.87"
"TCS","EQ","16-Aug-2021","       3463.40","       3460.00","       3494.35","       3436.50","       3464.75","       3472.95","       3470.40","    2083489","          7230549749.25","     120736","    1177803","         56.53"
"TCS","EQ","17-Aug-2021","       3472.95","       3482.10","       3560.80","       3463.00","       3548.00","       3553.05","       3523.43","    4336019","         15277648941.65","     189016","    2704831","         62.38"
"TCS","EQ","18-Aug-2021","       3553.05","       3573.85","       3595.00","       3536.60","       3559.80","       3560.55","       3564.21","    2631309","          9378550368.20","     190233","    1723543","         65.50"
"TCS","EQ","20-Aug-2021","       3560.55","       3506.00","       3575.00","       3500.00","       3551.60","       3559.50","       3553.61","    2836148","         10078573269.05","     146932","    1848299","         65.17"
"TCS","EQ","23-Aug-2021","       3559.50","       3580.00","       3673.00","       3561.90","       3635.00","       3637.40","       3636.99","    3744176","         13617518913.15","     182578","    1842890","         49.22"
"TCS","EQ","24-Aug-2021","       3637.40","       3657.00","       3667.35","       3594.40","       3615.05","       3613.20","       3626.54","    2511141","          9106741534.10","     140873","    1556733","         61.99"
"TCS","EQ","25-Aug-2021","       3613.20","       3610.00","       3697.75","       3607.05","       3665.00","       3659.00","       3667.15","    2123263","          7786317794.00","     132939","     995370","         46.88"
"TCS","EQ","26-Aug-2021","       3659.00","       3660.00","       3687.60","       3647.90","       3655.00","       3671.85","       3666.49","    1902533","          6975627265.60","     111272","    1154816","         60.70"
"TCS","EQ","27-Aug-2021","       3671.85","       3666.00","       3729.50","       3651.10","       3715.00","       3720.15","       3704.47","    3944728","         14613115000.85","     146958","    2524643","         64.00"
"TCS","EQ","30-Aug-2021","       3720.15","       3715.00","       3740.35","       3687.60","       3709.00","       3701.30","       3717.61","    2033114","          7558326821.90","     120886","    1349616","         66.38"
"TCS","EQ","31-Aug-2021","       3701.30","       3709.40","       3804.10","       3703.45","       3797.90","       3786.45","       3763.43","    3207480","         12071111288.25","     118247","    1862272","         58.06"
"TCS","EQ","01-Sep-2021","       3786.45","       3796.00","       3816.70","       3707.00","       3715.00","       3714.95","       3742.07","    2643336","          9891548398.70","     159880","    1863636","         70.50"
"TCS","EQ","02-Sep-2021","       3714.95","       3734.00","       3859.15","       3722.00","       3827.90","       3836.75","       3798.12","    3403717","         12927723346.45","     147951","    2036113","         59.82"
"TCS","EQ","03-Sep-2021","       3836.75","       3825.00","       3856.90","       3804.55","       3835.00","       3842.05","       3830.31","    1746812","          6690825623.35","     110739","     916975","         52.49"
"TCS","EQ","06-Sep-2021","       3842.05","       3849.70","       3877.60","       3814.00","       3847.90","       3852.00","       3842.72","    1723693","          6623670538.95","     111169","     978295","         56.76"
"TCS","EQ","07-Sep-2021","       3852.00","       3864.00","       3869.95","       3808.25","       3823.85","       3815.90","       3834.63","    1585039","          6078043781.70","      97123","    1010493","         63.75"
"TCS","EQ","08-Sep-2021","       3815.90","       3810.00","       3815.00","       3756.00","       3777.00","       3774.15","       3798.07","    4147175","         15751252747.10","     122519","    3355232","         80.90"
"TCS","EQ","09-Sep-2021","       3774.15","       3789.70","       3808.70","       3765.00","       3793.00","       3791.40","       3787.10","    1441148","          5457774387.45","     124377","     720189","         49.97"
"TCS","EQ","13-Sep-2021","       3791.40","       3767.00","       3852.40","       3767.00","       3841.50","       3845.35","       3828.30","    1691473","          6475463794.90","     109836","     789494","         46.67"
"TCS","EQ","14-Sep-2021","       3845.35","       3849.95","       3896.50","       3825.00","       3880.10","       3885.90","       3873.73","    1991188","          7713316318.10","     104679","    1273237","         63.94"
"TCS","EQ","15-Sep-2021","       3885.90","       3882.10","       3980.00","       3866.00","       3950.00","       3954.55","       3929.40","    2461369","          9671698399.65","     120015","    1222171","         49.65"
"TCS","EQ","16-Sep-2021","       3954.55","       3930.00","       3981.75","       3892.10","       3903.05","       3903.30","       3931.95","    2946666","         11586139448.20","     123851","    2125781","         72.14"
"TCS","EQ","17-Sep-2021","       3903.30","       3920.00","       3945.00","       3805.00","       3826.55","       3827.85","       3851.08","    6477148","         24944046353.10","     155142","    4501470","         69.50"
"TCS","EQ","20-Sep-2021","       3827.85","       3809.00","       3871.00","       3807.85","       3820.05","       3823.50","       3837.22","    2002008","          7682147330.75","     120832","    1112498","         55.57"
"TCS","EQ","21-Sep-2021","       3823.50","       3858.00","       3871.55","       3821.65","       3861.95","       3862.95","       3850.74","    1568129","          6038455605.45","      99059","     851956","         54.33"
"TCS","EQ","22-Sep-2021","       3862.95","       3862.50","       3896.85","       3852.45","       3856.75","       3862.15","       3873.71","    1744067","          6756003293.95","      93000","    1015045","         58.20"
"TCS","EQ","23-Sep-2021","       3862.15","       3870.00","       3879.00","       3835.00","       3872.00","       3869.25","       3859.54","    2003869","          7734019886.40","     131024","    1396484","         69.69"
"TCS","EQ","24-Sep-2021","       3869.25","       3890.00","       3944.40","       3855.00","       3878.75","       3871.30","       3908.95","    2320754","          9071718889.85","     185756","    1308031","         56.36"
"TCS","EQ","27-Sep-2021","       3871.30","       3900.00","       3904.00","       3802.90","       3839.00","       3836.95","       3842.81","    1673362","          6430415744.60","     126569","     989998","         59.16"
"TCS","EQ","28-Sep-2021","       3836.95","       3850.00","       3850.00","       3751.25","       3777.05","       3779.15","       3784.75","    2253075","          8527330472.40","     140925","    1558553","         69.17"
"TCS","EQ","29-Sep-2021","       3779.15","       3759.80","       3806.00","       3722.15","       3794.55","       3791.90","       3767.14","    2489161","          9377015958.30","     138418","    1548275","         62.20"
"TCS","EQ","30-Sep-2021","       3791.90","       3805.00","       3805.00","       3750.10","       3778.70","       3775.55","       3773.28","    2252412","          8498981489.30","     145940","    1546273","         68.65"
"TCS","EQ","01-Oct-2021","       3775.55","       3781.75","       3810.00","       3725.00","       3728.65","       3730.20","       3747.99","    1578374","          5915725343.65","     132388","     916682","         58.08"
"TCS","BL","04-Oct-2021","       3271.40","       3730.20","       3730.20","       3730.20","       3730.20","       3730.20","       3730.20","     875147","          3264473339.40","          1","-","-"
"TCS","EQ","04-Oct-2021","       3730.20","       3724.80","       3783.65","       3707.45","       3779.00","       3773.30","       3762.58","    1356860","          5105290641.50","      82301","     783170","         57.72"
"TCS","EQ","05-Oct-2021","       3773.30","       3754.00","       3840.00","       3741.60","       3839.10","       3833.30","       3785.15","    1877966","          7108385858.15","     107053","    1088332","         57.95"
"TCS","EQ","06-Oct-2021","       3833.30","       3836.00","       3857.45","       3795.00","       3813.80","       3810.90","       3830.18","    1678154","          6427634316.05","     105524","     949703","         56.59"
"TCS","EQ","07-Oct-2021","       3810.90","       3830.00","       3899.00","       3820.05","       3898.00","       3892.90","       3868.01","    1647233","          6371521151.00","     100510","     693631","         42.11"
"TCS","EQ","08-Oct-2021","       3892.90","       3925.00","       3989.90","       3900.00","       3943.00","       3935.65","       3947.83","    2934339","         11584283174.70","     178433","    1040830","         35.47"
"TCS","EQ","11-Oct-2021","       3935.65","       3755.00","       3757.50","       3660.00","       3687.95","       3685.60","       3702.67","   11845402","         43859658074.25","     704881","    6606303","         55.77"
"TCS","EQ","12-Oct-2021","       3685.60","       3706.00","       3707.00","       3630.60","       3656.20","       3652.85","       3658.54","    5752877","         21047120430.00","     371571","    3799131","         66.04"
"TCS","EQ","13-Oct-2021","       3652.85","       3650.00","       3675.45","       3645.00","       3658.05","       3655.20","       3655.85","    3545655","         12962366655.15","     228263","    2564283","         72.32"
"TCS","EQ","14-Oct-2021","       3655.20","       3625.00","       3670.00","       3608.20","       3614.80","       3611.45","       3626.77","    6442299","         23364720249.30","     406019","    4714726","         73.18"
"TCS","EQ","18-Oct-2021","       3611.45","       3603.45","       3652.70","       3601.45","       3649.00","       3647.15","       3631.23","    3590107","         13036517799.15","     213590","    2407286","         67.05"
"TCS","EQ","19-Oct-2021","       3647.15","       3669.00","       3690.10","       3625.20","       3634.45","       3634.15","       3661.85","    3135441","         11481500581.85","     191609","    1815161","         57.89"
"TCS","EQ","20-Oct-2021","       3634.15","       3612.00","       3630.00","       3578.30","       3607.95","       3608.85","       3606.05","    2933693","         10579039337.05","     175675","    1685241","         57.44"
"TCS","EQ","21-Oct-2021","       3608.85","       3604.10","       3607.45","       3511.25","       3532.85","       3532.50","       3546.27","    4871211","         17274650004.55","     295349","    3125514","         64.16"
"TCS","EQ","22-Oct-2021","       3532.50","       3560.00","       3561.60","       3485.00","       3501.85","       3498.85","       3511.44","    2691670","          9451650099.45","     163976","    1700467","         63.18"
"TCS","EQ","25-Oct-2021","       3498.85","       3503.00","       3514.55","       3450.00","       3491.00","       3492.95","       3477.23","    2595594","          9025471433.60","     139684","    1627737","         62.71"
"TCS","EQ","26-Oct-2021","       3492.95","       3494.50","       3529.00","       3475.00","       3485.90","       3482.60","       3494.69","    3878763","         13555085104.10","     155172","    2821225","         72.74"
"TCS","EQ","27-Oct-2021","       3482.60","       3483.00","       3511.25","       3483.00","       3488.45","       3489.75","       3495.53","    2510813","          8776620129.00","     122328","    1766894","         70.37"
"TCS","EQ","28-Oct-2021","       3489.75","       3518.00","       3518.00","       3415.00","       3423.00","       3421.65","       3450.19","    2424942","          8366511722.10","     187690","    1497979","         61.77"
"TCS","EQ","29-Oct-2021","       3421.65","       3400.05","       3461.00","       3385.95","       3404.00","       3397.75","       3424.21","    3960501","         13561601567.60","     241935","    2238879","         56.53"
"TCS","EQ","01-Nov-2021","       3397.75","       3437.95","       3487.00","       3412.95","       3482.35","       3476.40","       3445.74","    2020718","          6962871688.90","     154841","    1166862","         57.74"
"TCS","EQ","02-Nov-2021","       3476.40","       3494.00","       3513.60","       3469.75","       3484.00","       3484.20","       3490.81","    3087414","         10777567152.90","     134659","    2067119","         66.95"
"TCS","EQ","03-Nov-2021","       3484.20","       3504.20","       3519.90","       3466.05","       3488.00","       3492.25","       3492.58","    1537639","          5370327266.85","      98779","     791208","         51.46"
"TCS","EQ","04-Nov-2021","       3492.25","       3512.95","       3513.25","       3505.00","       3508.65","       3508.65","       3509.12","     328991","          1154468248.30","      42244","     246904","         75.05"
"TCS","EQ","08-Nov-2021","       3508.65","       3548.00","       3548.00","       3481.20","       3506.00","       3502.75","       3503.30","    2526082","          8849622221.80","     144893","    1652814","         65.43"
"TCS","EQ","09-Nov-2021","       3502.75","       3508.00","       3535.00","       3496.00","       3503.00","       3505.70","       3508.51","    1782692","          6254594395.95","      90441","    1106403","         62.06"
"TCS","EQ","10-Nov-2021","       3505.70","       3498.00","       3519.70","       3480.20","       3484.95","       3484.30","       3494.09","    1516489","          5298754955.55","     115924","     955899","         63.03"
"TCS","EQ","11-Nov-2021","       3484.30","       3480.00","       3510.05","       3436.00","       3505.00","       3488.20","       3464.62","    1284514","          4450347031.55","      98386","     614576","         47.85"
"TCS","EQ","12-Nov-2021","       3488.20","       3506.00","       3534.15","       3485.70","       3524.00","       3526.05","       3509.52","    1747259","          6132048785.70","      98323","    1086001","         62.15"
"TCS","EQ","15-Nov-2021","       3526.05","       3528.00","       3569.60","       3528.00","       3550.00","       3553.30","       3554.41","    1809157","          6430484084.55","     113981","    1104175","         61.03"
"TCS","EQ","16-Nov-2021","       3553.30","       3569.00","       3575.55","       3542.00","       3548.00","       3556.40","       3560.79","    2013204","          7168605743.85","     105284","    1371662","         68.13"
"TCS","EQ","17-Nov-2021","       3556.40","       3550.60","       3562.85","       3506.40","       3520.80","       3521.90","       3533.85","    1632914","          5770466506.80","     126358","    1033842","         63.31"
"TCS","EQ","18-Nov-2021","       3521.90","       3515.15","       3520.85","       3451.60","       3471.95","       3475.70","       3478.49","    2136598","          7432143867.40","     135284","    1367516","         64.00"
"TCS","EQ","22-Nov-2021","       3475.70","       3478.40","       3515.95","       3440.30","       3463.75","       3458.40","       3482.50","    3167936","         11032349106.20","     169460","    2146221","         67.75"
"TCS","EQ","23-Nov-2021","       3458.40","       3445.00","       3480.95","       3407.80","       3472.00","       3464.25","       3455.05","    2153461","          7440308037.35","     160137","    1449786","         67.32"
"TCS","EQ","24-Nov-2021","       3464.25","       3472.20","       3493.05","       3424.00","       3431.95","       3443.30","       3469.80","    2161746","          7500832834.10","     163891","    1640323","         75.88"
"TCS","EQ","25-Nov-2021","       3443.30","       3443.90","       3463.00","       3434.05","       3450.00","       3445.90","       3451.54","    1849619","          6384030188.95","     102359","    1294556","         69.99"
"TCS","EQ","26-Nov-2021","       3445.90","       3425.00","       3490.00","       3411.90","       3439.20","       3446.85","       3454.40","    1941251","          6705853480.80","     156945","    1152929","         59.39"
"TCS","EQ","29-Nov-2021","       3446.85","       3447.15","       3529.35","       3406.45","       3503.50","       3502.00","       3490.28","    2981745","         10407130645.30","     206893","    1648719","         55.29"
"TCS","EQ","30-Nov-2021","       3502.00","       3491.00","       3563.75","       3491.00","       3535.00","       3529.15","       3535.48","    5588446","         19757846113.05","     208979","    3849797","         68.89"
"TCS","EQ","01-Dec-2021","       3529.15","       3535.00","       3590.00","       3535.00","       3581.00","       3577.80","       3568.53","    2102118","          7501467334.90","     177235","    1311474","         62.39"
"TCS","EQ","02-Dec-2021","       3577.80","       3589.20","       3648.00","       3574.10","       3637.00","       3642.90","       3614.21","    3152938","         11395387802.95","     146031","    2208112","         70.03"
"TCS","EQ","03-Dec-2021","       3642.90","       3646.45","       3665.95","       3630.85","       3641.00","       3640.45","       3644.63","    2486263","          9061499107.35","     136470","    1904713","         76.61"
"TCS","EQ","06-Dec-2021","       3640.45","       3640.45","       3658.00","       3522.00","       3533.80","       3536.40","       3585.65","    1849642","          6632172778.45","     117199","    1050297","         56.78"
"TCS","EQ","07-Dec-2021","       3536.40","       3562.50","       3598.00","       3524.30","       3589.90","       3584.50","       3572.57","    1484458","          5303328386.25","     107141","     812623","         54.74"
"TCS","EQ","08-Dec-2021","       3584.50","       3601.00","       3646.45","       3601.00","       3624.00","       3626.90","       3631.02","    1428660","          5187489131.60","      88625","     826623","         57.86"
"TCS","EQ","09-Dec-2021","       3626.90","       3610.00","       3634.75","       3566.00","       3600.00","       3601.75","       3593.64","    1567957","          5634666502.40","     100995","     890952","         56.82"
"TCS","EQ","10-Dec-2021","       3601.75","       3585.00","       3642.00","       3575.10","       3630.00","       3636.80","       3611.25","    1510718","          5455578667.05","      69648","     833404","         55.17"
"TCS","EQ","13-Dec-2021","       3636.80","       3650.00","       3662.00","       3601.70","       3615.00","       3609.65","       3626.62","    1883864","          6832065637.60","      93875","    1329794","         70.59"
"TCS","EQ","14-Dec-2021","       3609.65","       3605.00","       3635.00","       3576.70","       3619.95","       3623.80","       3618.04","    1747007","          6320734400.10","     105436","    1216832","         69.65"
